rank,frequency,word_hi,word_en
385,304,जोर,jor
386,304,करें,karẽ
387,303,जिनमें,jinmẽ
388,302,लक्षण,lakṣaṇ
389,301,नामक,nāmak
390,300,वहीं,vahī̃
391,300,तुम्हारे,tumhāre
392,299,विश्व,viśva
393,298,शासन,śāsan
394,298,वैसे,vaise
395,298,युग,yug
396,298,बैठ,baiṭh
397,297,स्थापना,sthāpnā
398,297,अर्थात,arthāt
399,296,सारा,sārā
400,296,लेता,letā
401,296,लगती,lagtī
402,295,शैली,śailī
403,295,लें,lẽ
404,295,पार्टी,pārṭī
405,295,गीत,gīt
406,295,अवसर,avsar
407,293,युद्ध,yuddh
408,292,मालूम,mālūm
409,292,चारों,cārõ
410,291,प्रकाश,prakāś
411,290,जायेगा,jāyegā
412,289,बैठे,baiṭhe
413,289,तुम्हें,tumhẽ
414,288,समाप्त,samāpt
415,288,जाय,jāy
416,287,साफ,sāph
417,287,धार्मिक,dhārmik
418,287,ताप,tāp
419,287,उल्लेख,ullekh
420,286,वर्तमान,vartamān
421,285,लेना,lenā
422,285,थोड़ी,thoṛī
423,285,इनका,inkā
424,284,विकसित,viksit
425,283,बन्द,band
426,283,प्रसिद्ध,prasiddh
427,282,विशिष्ट,viśiṣṭ
428,282,प्रेम,prem
429,281,चली,calī
430,280,रखते,rakhte
431,280,भावना,bhāvnā
432,280,चलता,caltā
433,279,सिद्ध,siddh
434,279,वालों,vālõ
435,278,चित्रों,citrõ
436,277,पुरुष,puruṣ
437,277,पदार्थ,padārth
438,277,चर्चा,carcā
439,277,खाना,khānā
440,275,उच्च,ucc
441,275,इतने,itne
442,274,दी,dī
443,274,दिए,die
444,273,सीमा,sīmā
445,273,वस्तु,vastu
446,273,पड़ी,paṛī
447,273,गति,gati
448,273,अत्यन्त,atyant
449,272,संगठन,saṅgṭhan
450,271,कितना,kitnā
451,271,इस्तेमाल,istemāl
452,270,बाबा,bābā
453,270,प्रकाशित,prakāśit
454,269,ढंग,ḍhaṅg
455,269,अधिकार,adhikār
456,268,उधर,udhar
457,267,पड़े,paṛe
458,266,सके,sake
459,265,सूचना,sūcnā
460,265,अंग्रेजी,aṅgrejī
461,263,सुन्दर,sundar
462,263,पुनः,punaḥ
463,263,केंद्रीय,kendrīya
464,263,आधुनिक,ādhunik
465,262,शहर,śahar
466,261,प्रधानमंत्री,pradhānmantrī
467,260,ब्राह्मण,brāhmaṇ
468,260,उनको,unko
469,259,महीने,mahīne
470,259,अच्छे,acche
471,257,हवा,havā
472,257,शाम,śām
473,257,इधर,idhar
474,256,संसार,sansār
475,255,विरोध,virodh
476,255,रखना,rakhnā
477,255,प्रशिक्षण,praśikṣaṇ
478,254,संघ,saṅgh
479,254,बनी,banī
480,254,पृथ्वी,pŕthvī
481,254,ऊर्जा,ūrjā
482,250,हमने,hamne
483,250,वास्तविक,vāstavik
484,249,सहयोग,sahyog
485,248,तेल,tel
486,248,अवधि,avdhi
487,247,सात,sāt
488,247,लगते,lagte
489,247,मार्ग,mārg
490,247,बंद,band
491,247,प्रचलित,praclit
492,246,संघर्ष,saṅgharṣ
493,246,दिशा,diśā
494,245,स्थित,sthit
495,245,बैठा,baiṭhā
496,244,वर्षों,varṣõ
497,244,अधिकांश,adhikāñś
498,243,शादी,śādī
499,243,वातावरण,vātāvraṇ
500,243,तुलना,tulnā
501,242,राजीव,rājīv
502,241,साधारण,sādhāraṇ
503,241,सम्पूर्ण,sampūrṇ
504,241,राजस्थान,rājasthān
505,240,सफल,saphal
506,240,कितने,kitne
507,239,वापस,vāpas
508,239,मानसिक,mānsik
509,239,परम्परा,paramparā
510,238,बोले,bole
511,238,बीज,bīj
512,238,खेल,khel
513,238,अंग,aṅg
514,237,बैठक,baiṭhak
515,237,जरूरत,jarūrat
516,237,ग्रामीण,grāmīṇ
517,237,इनकी,inkī
518,236,कथा,kathā
519,236,आयु,āyu
520,234,बातचीत,bātcīt
521,234,प्रभावित,prabhāvit
522,234,निर्धारित,nirdhārit
523,234,निकाल,nikāl
524,234,घटना,ghaṭnā
525,233,कितनी,kitnī
526,233,कवि,kavi
527,232,रक्त,rakt
528,232,बालकों,bālkõ
529,232,किसान,kisān
530,232,इच्छा,icchā
531,232,आयी,āyī
532,231,बजे,baje
533,231,चेहरे,cehre
534,231,गुण,guṇ
535,231,आकार,ākār
536,230,हृदय,hŕday
537,229,राज,rāj
538,229,मार,mār
539,229,चुकी,cukī
540,228,यात्रा,yātrā
541,228,नष्ट,naṣṭ
542,228,खेती,khetī
543,227,सुबह,subah
544,227,नयी,nayī
545,227,जिन्हें,jinhẽ
546,227,आरम्भ,ārambh
547,226,सुनकर,sunkar
548,226,वायु,vāyu
549,226,नजर,najar
550,226,थोड़ा,thoṛā
551,226,खाली,khālī
552,225,ॐ,om
553,225,खोज,khoj
554,224,एकदम,ekdam
555,223,व्यक्तियों,vyaktiyõ
556,223,राजनीतिक,rājnītik
557,223,आँखें,ā̃khẽ
558,222,संबंधित,sambandhit
559,221,तेज,tej
560,221,जरा,jarā
561,220,व्यक्तित्व,vyaktitva
562,220,बदल,badal
563,219,सवाल,savāl
564,219,उपभोक्ता,upbhoktā
565,219,उपज,upaj
566,218,सुख,sukh
567,218,मानते,mānte
568,218,मकान,makān
569,218,तेजी,tejī
570,218,जुलाई,julāī
571,217,प्रयत्न,prayatna
572,217,देवता,devtā
573,217,जानते,jānte
574,217,कपड़े,kapṛe
575,216,संभव,sambhav
576,216,सकता,saktā
577,216,मदद,madad
578,215,वास्तव,vāstav
579,215,निकट,nikaṭ
580,215,चलते,calte
581,214,बाकी,bākī
582,212,सोच,soc
583,212,समस्त,samast
584,212,सदस्य,sadasya
585,212,कठिन,kaṭhin
586,212,अरे,are
587,211,राज्यों,rājyõ
588,211,नया,nayā
589,210,सीधे,sīdhe
590,210,फूल,phūl
591,210,किस्म,kisma
592,210,अभाव,abhāv
593,209,जरूरी,jarūrī
594,208,सेना,senā
595,208,श्रम,śram
596,208,विदेशी,videśī
597,208,बाल,bāl
598,208,पुराने,purāne
599,208,किंतु,kintu
600,207,विस्तार,vistār
601,207,जाएगी,jāegī
602,207,छोटा,choṭā
603,206,वनस्पति,vanaspati
604,206,खर्च,kharc
605,205,पार,pār
606,205,अधिकारी,adhikārī
607,204,चलने,calne
608,204,आशा,āśā
609,203,सुधार,sudhār
610,203,विशाल,viśāl
611,203,पूर्ति,pūrti
612,203,डाल,ḍāl
613,202,जानता,jāntā
614,200,महसूस,mahsūs
615,200,बोल,bol
616,200,प्रतीत,pratīt
617,200,अध्यक्ष,adhyakṣ
618,199,सीखने,sīkhne
619,199,वर्ण,varṇ
620,199,व्यापक,vyāpak
621,199,भविष्य,bhaviṣya
622,199,ध्वनि,dhvani
623,198,प्रयुक्त,prayukt
624,198,प्रचार,pracār
625,198,प्यार,pyār
626,197,शिक्षण,śikṣaṇ
627,197,शेष,śeṣ
628,197,मार्च,mārc
629,197,दुनिया,duniyā
630,197,ख्याल,khyāl
631,196,प्रगति,pragti
632,196,गैस,gais
633,195,लगातार,lagātār
634,195,तौर,taur
635,195,उन्हीं,unhī̃
636,194,सुरक्षित,surakṣit
637,194,सभा,sabhā
638,194,लौट,lauṭ
639,194,लागत,lāgat
640,194,बनाये,banāye
641,194,दर्द,dard
642,194,आखिर,ākhir
643,193,सोचा,socā
644,193,दें,dẽ
645,193,चीज,cīj
646,193,कल्पना,kalpanā
647,192,लक्ष्य,lakṣya
648,192,चाय,cāy
649,192,खूब,khūb
650,191,श्रीमती,śrīmtī
651,191,लाने,lāne
652,191,मुक्त,mukt
653,191,बुद्धि,buddhi
654,191,पश्चिम,paścim
655,191,खेत,khet
656,190,होनी,honī
657,190,चाहती,cāhtī
658,190,उपयुक्त,upyukt
659,190,अंत,ant
660,189,साधन,sādhan
661,189,संकेत,saṅket
662,189,वस्तुओं,vastuõ
663,189,मामले,māmle
664,189,बनाकर,banākar
665,188,सहज,sahaj
666,188,सदा,sadā
667,188,शारीरिक,śārīrik
668,188,पकड़,pakaṛ
669,188,उपाय,upāy
670,187,संस्थान,sansthān
671,187,सफलता,saphaltā
672,187,बाबू,bābū
673,187,तुम्हारी,tumhārī
674,186,भूल,bhūl
675,185,आत्मा,ātmā
676,184,विचारों,vicārõ
677,184,रखी,rakhī
678,184,भूमिका,bhūmikā
679,184,पैर,pair
680,184,करे,kare
681,183,हाथों,hāthõ
682,183,भवन,bhavan
683,183,नियम,niyam
684,183,दिल,dil
685,183,तकनीकी,taknīkī
686,183,जिसकी,jiskī
687,182,शिशु,śiśu
688,182,व्यय,vyay
689,182,पेट,peṭ
690,182,नींद,nīnd
691,182,नेताओं,netāõ
692,182,अंदर,andar
693,181,लागू,lāgū
694,181,बनने,banne
695,181,त्वचा,tvacā
696,181,गायन,gāyan
697,180,राजनीति,rājnīti
698,180,जमा,jamā
699,179,सुविधा,suvidhā
700,179,बोर्ड,borḍ
701,179,कानून,kānūn
702,178,शुरु,śuru
703,178,लेखक,lekhak
704,178,बावजूद,bāvjūd
705,178,क्रम,kram
706,177,लगने,lagne
707,177,तुमने,tumne
708,176,हाल,hāl
709,176,सम्भव,sambhav
710,176,स्टेशन,sṭeśan
711,176,अगले,agle
712,175,रास्ते,rāste
713,175,मस्तिष्क,mastiṣk
714,175,गर्म,garm
715,174,संबंधी,sambandhī
716,174,यानी,yānī
717,174,पुरानी,purānī
718,174,चित्रण,citraṇ
719,174,अधिकारियों,adhikāriyõ
720,173,संस्कृत,sanskŕt
721,172,सुन,sun
722,172,युवक,yuvak
723,172,पाठ,pāṭh
724,171,स्थानों,sthānõ
725,171,वर्षा,varṣā
726,171,रखकर,rakhkar
727,171,पशु,paśu
728,171,किसानों,kisānõ
729,170,सत्ता,sattā
730,170,प्राप्ति,prāpti
731,170,दवा,davā
732,170,खास,khās
733,170,कमेटी,kameṭī
734,170,अंक,aṅk
735,169,हानि,hāni
736,169,सरल,saral
737,168,सिंचाई,siñcāī
738,168,शिकार,śikār
739,168,वृक्ष,vŕkṣ
740,168,करेंगे,kareṅge
741,168,औद्योगिक,audyogik
742,168,आधारित,ādhārit
743,167,हत्या,hatyā
744,167,सहकारी,sahkārī
745,167,विवरण,vivraṇ
746,167,रोज,roj
747,167,मुझसे,mujhse
748,167,आना,ānā
749,166,मौसम,mausam
750,166,आँखों,ā̃khõ
751,165,शुद्ध,śuddh
752,165,भेद,bhed
753,164,विपरीत,viprīt
754,164,लम्बी,lambī
755,164,बनाना,banānā
756,164,दृष्टिकोण,dŕṣṭikoṇ
757,163,गलत,galat
758,162,समर्थन,samarthan
759,162,सम्मेलन,sammelan
760,162,सचमुच,sacmuc
761,162,बुद्ध,buddh
762,162,बच्चा,baccā
763,162,दीवार,dīvār
764,162,आंखों,āṅkhõ
765,162,अध्याय,adhyāy
766,162,अत्यधिक,atyadhik
767,161,सहित,sahit
768,161,योग,yog
769,161,मुख,mukh
770,161,बिहार,bihār
771,161,काव्य,kāvya
772,160,सिद्धांत,siddhānt
773,160,सार्वजनिक,sārvajnik
774,160,लघु,laghu
775,160,बता,batā
776,160,परस्पर,paraspar
777,160,तार,tār
778,160,चूर्ण,cūrṇ
779,160,आयोजन,āyojan
780,159,सांस्कृतिक,sānskŕtik
781,159,समझने,samajhne
782,159,वाद्य,vādya
783,159,प्रतीक,pratīk
784,159,तुम्हारा,tumhārā
785,159,छात्र,chātra
786,159,चुप,cup
787,159,अक्सर,aksar
788,158,जायेगी,jāyegī
789,157,रखे,rakhe
790,157,भार,bhār
791,157,फलों,phalõ
792,157,जीवित,jīvit
793,157,आजकल,ājkal
794,156,विस्तृत,vistŕt
795,156,गिर,gir
796,156,गुरू,gurū
797,156,खाद्य,khādya
798,156,उतर,utar
799,156,अमेरिका,amerikā
800,155,सुना,sunā
801,155,स्थानीय,sthānīya
802,155,विषयों,viṣyõ
803,155,घंटे,ghaṇṭe
804,155,कराने,karāne
805,155,उतना,utnā
806,154,शताब्दी,śatābdī
807,154,व्यवसाय,vyavsāy
808,154,मंदिर,mandir
809,154,परिचय,paricay
810,154,गांवों,gāmvõ
811,153,बाँध,bāndh
812,153,निश्चय,niścay
813,153,उपकरण,upakraṇ
814,153,आतंकवादियों,ātaṅkvādiyõ
815,152,वैदिक,vaidik
816,152,भागों,bhāgõ
817,152,अंश,añś
818,151,सूत्र,sūtra
819,151,विविध,vividh
820,151,बारह,bārah
821,151,फलस्वरूप,phalasvarūp
822,151,काट,kāṭ
823,151,अधिकतर,adhiktar
824,150,स्वाभाविक,svābhāvik
825,150,वाक्य,vākya
826,150,बैठी,baiṭhī
827,150,परिस्थितियों,paristhitiyõ
828,149,सूर्य,sūrya
829,149,शत्रु,śatru
830,149,पत्तियों,pattiyõ
831,149,नियोजन,niyojan
832,149,ग्रन्थ,granth
833,149,कही,kahī
834,149,उम्र,umra
835,149,अग्नि,agni
836,148,सिख,sikh
837,148,बाप,bāp
838,148,पाकिस्तान,pākistān
839,148,पश्चात्,paścāt
840,148,चिन्ता,cintā
841,148,आयोजित,āyojit
842,147,यहीं,yahī̃
843,146,वाद्यों,vādyõ
844,146,मुसलमान,musalmān
845,146,भेज,bhej
846,146,बैंक,ba͠ik
847,146,नारी,nārī
848,146,अंतिम,antim
849,145,समुद्र,samudra
850,145,संग्रह,saṅgrah
851,145,लेती,letī
852,145,दृश्य,dŕśya
853,145,खाद,khād
854,145,आलोचना,ālocnā
855,144,हैक्टर,haikṭar
856,144,विरोधी,virodhī
857,144,पश्चिमी,paścimī
858,144,धान,dhān
859,144,डाक,ḍāk
860,144,कदम,kadam
861,144,आकाश,ākāś
862,143,स्थायी,sthāyī
863,143,वितरण,vitraṇ
864,143,वंश,vañś
865,143,रोक,rok
866,143,प्रेरणा,prerṇā
867,143,चीनी,cīnī
868,143,औरत,aurat
869,143,अप्रैल,aprail
870,143,अनिवार्य,anivārya
871,142,सकें,sakẽ
872,142,महिला,mahilā
873,142,पहचान,pahcān
874,142,क्रमशः,kramśaḥ
875,141,सैनिक,sainik
876,141,वजह,vajah
877,141,लकड़ी,lakṛī
878,141,रुपये,rupye
879,141,बढ़ा,baṛhā
880,141,पीठ,pīṭh
881,141,पाई,pāī
882,141,डाक्टर,ḍākṭar
883,140,सम्पर्क,sampark
884,140,वीं,vī̃
