rank,frequency,word,word2
578,24821,обычно,обычно
579,24813,ума,ума
582,24666,посмотреть,посмотреть
583,24647,иначе,иначе
584,24616,наших,наших
585,24547,тело,тело
586,24483,хотели,хотели
587,24180,свое,свое
588,24179,пришли,пришли
590,24173,другие,другие
591,24168,выглядит,выглядит
592,24085,подумал,подумал
593,24022,лицо,лицо
594,23961,приятно,приятно
595,23933,мам,мам
596,23914,говорите,говорите
597,23776,обратно,обратно
598,23734,нашего,нашего
599,23675,телефон,телефон
600,23657,мире,мире
601,23657,честь,честь
602,23619,господин,господин
603,23575,доброе,доброе
604,23550,план,план
605,23547,другом,другом
606,23538,час,час
608,23386,пути,пути
609,23365,делал,делал
610,23350,типа,типа
611,23340,посмотрим,посмотрим
612,23299,насколько,насколько
613,23296,пытался,пытался
614,23266,правду,правду
615,23256,решил,решил
616,23235,поздно,поздно
617,23163,нем,нем
618,23151,работе,работе
619,23082,любит,любит
620,23061,хотят,хотят
621,23048,кому,кому
622,23033,сестра,сестра
623,23013,какой-то,какой-то
624,22996,места,места
625,22970,кого-то,кого-то
626,22911,скажешь,скажешь
627,22874,следующий,следующий
628,22782,других,других
629,22761,получил,получил
630,22754,кстати,кстати
631,22754,говорили,говорили
632,22711,пришла,пришла
633,22658,безопасности,безопасности
634,22651,рада,рада
635,22598,когда-нибудь,когда-нибудь
636,22582,город,город
637,22551,внимание,внимание
638,22518,кофе,кофе
639,22513,которое,которое
640,22447,вся,вся
641,22392,семья,семья
642,22370,конец,конец
643,22329,позже,позже
644,22272,дал,дал
645,22270,думать,думать
646,22161,спать,спать
647,22160,вернулся,вернулся
648,22135,остаться,остаться
649,22086,некоторые,некоторые
650,22028,кровь,кровь
651,22008,оружие,оружие
652,22005,пришлось,пришлось
653,21993,хуже,хуже
654,21901,дорогой,дорогой
655,21832,полиция,полиция
656,21727,сможем,сможем
657,21722,понимаете,понимаете
658,21692,четыре,четыре
659,21675,которых,которых
660,21660,ужасно,ужасно
661,21611,ждать,ждать
662,21588,способ,способ
663,21490,делаю,делаю
664,21457,готовы,готовы
665,21452,совершенно,совершенно
666,21445,смотреть,смотреть
667,21428,вернусь,вернусь
668,21424,большое,большое
669,21401,единственный,единственный
670,21361,вперед,вперед
671,21254,часа,часа
672,21249,где-то,где-то
673,21149,муж,муж
674,21080,идет,идет
675,21062,таких,таких
676,21021,ребенка,ребенка
677,21008,машина,машина
678,20908,стороны,стороны
679,20850,смог,смог
680,20812,сына,сына
681,20812,играть,играть
682,20794,сами,сами
683,20779,верю,верю
684,20747,честно,честно
685,20731,нашла,нашла
686,20728,звучит,звучит
687,20705,угодно,угодно
688,20699,как-то,как-то
689,20693,руку,руку
690,20681,начала,начала
691,20654,перевод,перевод
692,20573,какое,какое
693,20550,взял,взял
694,20522,станет,станет
695,20408,пытаюсь,пытаюсь
696,20397,внутри,внутри
697,20311,знали,знали
698,20286,новости,новости
702,20198,ребенок,ребенок
