rank,frequency,word,pos
543,-1,연극,명사
544,-1,오늘,부사
545,-1,마찬가지,명사
546,-1,걷다,동사
547,-1,노동,명사
548,-1,이때,명사
549,-1,과거,명사
550,-1,가치,명사
552,-1,집단,명사
553,-1,현대,명사
555,-1,살펴보다,동사
556,-1,장관,명사
557,-1,차이,명사
558,-1,풀다,동사
559,-1,시절,명사
560,-1,물건,명사
561,-1,직접,부사
562,-1,개인,명사
563,-1,근데,부사
564,-1,발,명사
565,-1,작가,명사
566,-1,효과,명사
567,-1,불교,명사
568,-1,끌다,동사
572,-1,빨리,부사
573,-1,시작되다,동사
575,-1,둘,수사
576,-1,말다,동사
577,-1,설명하다,동사
578,-1,우주,명사
579,-1,시기,명사
580,-1,마치,부사
582,-1,생산,명사
583,-1,바라다,동사
584,-1,강하다,형용사
585,-1,경험,명사
586,-1,음악,명사
587,-1,최고,명사
588,-1,나타내다,동사
589,-1,아프다,형용사
590,-1,적다,형용사
592,-1,비,명사
593,-1,고향,명사
594,-1,놀라다,동사
595,-1,다양하다,형용사
596,-1,울다,동사
597,-1,농민,명사
598,-1,드러나다,동사
599,-1,은행,명사
600,-1,지내다,동사
601,-1,결혼,명사
602,-1,동생,명사
603,-1,법,명사
604,-1,소설,명사
605,-1,예,감탄사
606,-1,오후,명사
607,-1,질서,명사
609,-1,담다,동사
610,-1,모이다,동사
611,-1,시민,명사
612,-1,회장,명사
613,-1,빠르다,형용사
614,-1,스스로,부사
615,-1,아기,명사
616,-1,아저씨,명사
617,-1,옛날,명사
618,-1,이날,명사
619,-1,제대로,부사
621,-1,던지다,동사
622,-1,참,부사
623,-1,공간,명사
624,-1,이곳,대명사
625,-1,딸,명사
626,-1,마지막,명사
627,-1,벌이다,동사
628,-1,병원,명사
630,-1,자세,명사
631,-1,강조하다,동사
632,-1,경찰,명사
633,-1,맡다,동사
634,-1,저녁,명사
635,-1,한편,부사
636,-1,그러면,부사
637,-1,기자,명사
638,-1,넓다,형용사
639,-1,시험,명사
640,-1,잠,명사
641,-1,주로,부사
642,-1,훨씬,부사
643,-1,면,명사
645,-1,통일,명사
646,-1,들어서다,동사
647,-1,건강,명사
648,-1,가깝다,형용사
649,-1,건물,명사
650,-1,시설,명사
651,-1,외국,명사
652,-1,밑,명사
653,-1,어른,명사
654,-1,주변,명사
655,-1,대신,명사
656,-1,원인,명사
657,-1,팔다,동사
658,-1,차례,명사
659,-1,군,명사
660,-1,열심히,부사
661,-1,일하다,동사
662,-1,재산,명사
663,-1,조금,명사
664,-1,팀,명사
665,-1,부모,명사
666,-1,약간,부사
667,-1,언어,명사
668,-1,요구하다,동사
669,-1,올라가다,동사
670,-1,첫,관사
671,-1,감독,명사
672,-1,그날,명사
673,-1,사실,부사
674,-1,자주,부사
675,-1,당하다,동사
676,-1,삼다,동사
677,-1,약,관사
678,-1,기간,명사
679,-1,담배,명사
680,-1,일으키다,동사
681,-1,일단,부사
682,-1,할아버지,명사
683,-1,조직,명사
684,-1,태어나다,동사
685,-1,공장,명사
686,-1,벌써,부사
687,-1,즐기다,동사
689,-1,환자,명사
690,-1,변하다,동사
691,-1,사고,명사
692,-1,그래도,부정사
693,-1,아무리,부사
694,-1,맞추다,동사
695,-1,쌀,명사
696,-1,일반,명사
697,-1,재미있다,형용사
698,-1,가르치다,동사
699,-1,대화,명사
700,-1,막다,동사
701,-1,올해,명사
702,-1,형,명사
703,-1,달리,부사
704,-1,버리다,동사
705,-1,붙이다,동사
706,-1,인물,명사
707,-1,늘,부사
708,-1,모두,명사
709,-1,전국,명사
711,-1,마치다,동사
712,-1,전,관사
713,-1,다만,부사
714,-1,도움,명사
715,-1,가정,명사
716,-1,걸다,동사
717,-1,빠지다,동사
718,-1,멀다,형용사
719,-1,버스,명사
721,-1,오늘날,명사
722,-1,잠시,부사
723,-1,농업,명사
724,-1,대다,동사
726,-1,의견,명사
727,-1,무대,명사
728,-1,사진,명사
729,-1,주장,명사
730,-1,표현하다,동사
731,-1,인하다,동사
732,-1,이상하다,형용사
733,-1,제일,명사
734,-1,붙다,동사
735,-1,아마,부사
736,-1,얘기하다,동사
737,-1,잇다,동사
738,-1,조금,부사
739,-1,경기,명사
740,-1,목적,명사
741,-1,태도,명사
742,-1,남성,명사
743,-1,주위,명사
744,-1,대책,명사
745,-1,그만,부사
746,-1,발생하다,동사
747,-1,다리,명사
748,-1,아무,관사
749,-1,어쩌다,동사
750,-1,재료,명사
751,-1,각각,부사
752,-1,결코,부사
753,-1,옮기다,동사
754,-1,항상,부사
755,-1,해,명사
756,-1,잃다,동사
757,-1,자유,명사
758,-1,책임,명사
759,-1,바뀌다,동사
760,-1,비슷하다,형용사
761,-1,심하다,형용사
762,-1,경쟁,명사
764,-1,사랑하다,동사
765,-1,아니,감탄사
766,-1,여름,명사
767,-1,자라다,동사
769,-1,구체적,명사
770,-1,기회,명사
771,-1,실시하다,동사
773,-1,지구,명사
775,-1,소비자,명사
776,-1,싫다,형용사
778,-1,규모,명사
779,-1,기준,명사
781,-1,반드시,부사
784,-1,갖추다,동사
785,-1,그러니까,부사
787,-1,받아들이다,동사
788,-1,값,명사
789,-1,현장,명사
790,-1,건설,명사
791,-1,꺼내다,동사
792,-1,노동자,명사
793,-1,동네,명사
794,-1,언제나,부사
795,-1,완전히,부사
796,-1,자동차,명사
797,-1,전하다,동사
798,-1,존재하다,동사
800,-1,맞다,동사
801,-1,별로,부사
802,-1,어린이,명사
803,-1,정하다,동사
804,-1,한마디,명사
805,-1,유지하다,동사
806,-1,이데올로기,명사
807,-1,공부하다,동사
808,-1,대중,명사
809,-1,늘어나다,동사
810,-1,닦다,동사
812,-1,말씀,명사
813,-1,괜찮다,형용사
814,-1,눈물,명사
815,-1,각종,명사
816,-1,빛,명사
817,-1,아니,부사
818,-1,피하다,동사
819,-1,거치다,동사
820,-1,나아가다,동사
